playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,unsuccessfulCrossesOpenPlay,substituteOn,successfulCrossesAndCorners,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,successfulDribbles,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,goalAssists,successfulLayoffs,offsides,oboxBlocked,iboxTarget,shotsOnTargetInBox,penaltiesConceded,keyPassesAttemptAssists,unsuccessfulDribbles,shotsOffTargetIncWoodwork,cornersWon,shotsBlockedOutsideBox,secondGoalAssists,throughBalls,lastPlayerTackle,hitWoodwork,handballsConceded,overruns,goals,awayGoals,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,homeGoals,oboxTarget,leftFootGoals,unsuccessfulCornersIntoBox,clearancesOffTheLine,setPiecesGoals,rightFootGoals,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,headedGoals,foulWonPenalty
152015,Guillermo Varela,Defender,FC København,Uruguay,2015-16,28.0,0.0728,0.0,,13.0,,12.0,4.0,3.0,31.0,146.0,,,7.0,1.0,,315.0,6.0,25.0,1.0,24.0,104.0,,,4.2605,,5.0,6.0,4.0,22.0,10.0,,7.0,0.0,53.0,,52.0,26.0,4.0,,,50.0,3.0,46.0,1.0,0.0,,141.0,58.0,10.0,,,59.0,11.0,269.0,16.0,66.0,,1.0,19.0,14.0,1.0,,6.0,1.0,1.0,6.0,4.0,8.0,,3.0,3.0,6.0,8.0,,4.0,,5.0,13.0,25.0,37.0,,3.0,0.0202,,,1.0,,,,,,,,1.0,5.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
160817,Paddy McNair,Defender,Hull City,Northern Ireland,2015-16,36.0,0.2448,0.0,,9.0,,18.0,8.0,3.0,41.0,194.0,,,20.0,,,309.0,12.0,19.0,1.0,11.0,139.0,,1.0,6.0474,,,13.0,6.0,24.0,39.0,,2.0,0.0,55.0,,82.0,27.0,8.0,,,64.0,5.0,35.0,8.0,0.0,,192.0,63.0,8.0,,,56.0,14.0,262.0,13.0,90.0,,0.0,23.0,15.0,1.0,,4.0,5.0,1.0,6.0,4.0,2.0,,2.0,1.0,5.0,9.0,,,,4.0,5.0,17.0,8.0,2.0,1.0,0.2726,1.0,0.151,3.0,,,,,1.0,1.0,,1.0,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40002,Matteo Darmian,Defender,Internazionale,Italy,2015-16,96.0,1.5112,0.0,,84.0,,112.0,28.0,24.0,193.0,934.0,,,33.0,8.0,,1930.0,13.0,138.0,1.0,118.0,701.0,,1.0,18.3148,,13.0,53.0,18.0,83.0,107.0,,23.0,0.0,234.0,,397.0,103.0,28.0,,,451.0,17.0,201.0,20.0,0.0,,919.0,302.0,69.0,,,275.0,40.0,1469.0,66.0,299.0,,8.0,81.0,64.0,9.0,,44.0,4.0,9.0,44.0,19.0,18.0,,21.0,15.0,44.0,28.0,,11.0,2.0,27.0,42.0,155.0,157.0,11.0,17.0,0.1659,1.0,0.0708,6.0,,,4.0,,,,,12.0,12.0,5.0,11.0,,,,,,,1.0,1.0,0.0,,,,1.0,,1.0,,,,,,,,,,,,,
160816,Donald Love,Defender,Accrington Stanley,Scotland,2015-16,3.0,0.0336,0.0,,4.0,,5.0,1.0,,7.0,26.0,,,1.0,,,53.0,1.0,6.0,,6.0,18.0,,,0.9755,,,,1.0,2.0,,,,0.0,9.0,,8.0,6.0,1.0,,,7.0,1.0,8.0,,0.0,,26.0,14.0,3.0,,,14.0,1.0,44.0,2.0,12.0,,0.0,2.0,2.0,,,1.0,1.0,,3.0,2.0,2.0,,,1.0,1.0,1.0,,2.0,,1.0,1.0,4.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
180804,Axel Tuanzebe,Defender,Burnley,DR Congo,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171273,Cameron Borthwick-Jackson,Defender,Macclesfield,England,2015-16,45.0,0.7413,0.0,,8.0,,45.0,10.0,6.0,64.0,353.0,,,33.0,1.0,,692.0,23.0,29.0,2.0,19.0,277.0,,,5.1188,,1.0,17.0,6.0,22.0,128.0,,2.0,0.0,74.0,,148.0,43.0,10.0,,,189.0,4.0,41.0,10.0,0.0,,348.0,123.0,6.0,,,25.0,12.0,564.0,14.0,105.0,,0.0,19.0,21.0,5.0,,22.0,4.0,5.0,14.0,6.0,20.0,,4.0,2.0,22.0,8.0,,9.0,4.0,8.0,11.0,52.0,80.0,1.0,3.0,0.0148,1.0,0.0541,1.0,1.0,1.0,,,,,,6.0,3.0,,5.0,,1.0,,,,1.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,
43670,Juan Mata,Midfielder,Manchester United,Spain,2015-16,150.0,5.522,1.0,,30.0,,163.0,38.0,34.0,194.0,1803.0,,,18.0,9.0,,2898.0,14.0,93.0,4.0,89.0,1511.0,,,27.8574,,,19.0,28.0,136.0,329.0,,29.0,3.0,243.0,,387.0,185.0,38.0,,,1164.0,24.0,225.0,4.0,0.0,,1747.0,392.0,22.0,,,659.0,98.0,2264.0,9.0,463.0,,4.0,31.0,41.0,7.0,18.0,49.0,4.0,18.0,48.0,109.0,,7.0,15.0,8.0,80.0,71.0,7.0,30.0,,22.0,23.0,428.0,16.0,15.0,16.0,5.6585,22.0,7.0177,39.0,5.0,102.0,9.0,11.0,9.0,9.0,,48.0,17.0,17.0,23.0,11.0,2.0,7.0,,1.0,2.0,2.0,6.0,3.0,49.0,7.0,10.0,3.0,7.0,5.0,19.0,,1.0,1.0,1.0,6.0,6.0,0.5379,4.0,1.0,1.0,,
109322,Jesse Lingard,Midfielder,Seoul,England,2015-16,124.0,1.3812,0.0,,38.0,,90.0,25.0,19.0,109.0,712.0,,,22.0,5.0,,1635.0,20.0,82.0,2.0,80.0,593.0,,1.0,13.3756,,2.0,11.0,13.0,104.0,120.0,,21.0,2.0,206.0,,174.0,92.0,25.0,,,454.0,11.0,184.0,2.0,0.0,,706.0,237.0,28.0,,,235.0,10.0,1049.0,13.0,151.0,,4.0,19.0,25.0,2.0,8.0,20.0,6.0,2.0,45.0,50.0,4.0,3.0,29.0,10.0,20.0,53.0,3.0,21.0,1.0,24.0,15.0,183.0,23.0,8.0,19.0,2.7678,13.0,3.3517,23.0,1.0,36.0,5.0,5.0,6.0,6.0,,13.0,27.0,10.0,12.0,5.0,,4.0,,1.0,2.0,8.0,4.0,2.0,3.0,3.0,,2.0,3.0,,,,,3.0,,,,,3.0,,,1.0,
154976,Adnan Januzaj,Midfielder,Sevilla,Belgium,2015-16,16.0,0.2559,0.0,,1.0,,5.0,5.0,2.0,5.0,42.0,,,3.0,,,144.0,3.0,7.0,,7.0,31.0,,,0.8909,,,1.0,1.0,13.0,14.0,,3.0,1.0,23.0,,10.0,11.0,5.0,,,31.0,1.0,20.0,,0.0,,40.0,22.0,1.0,,,8.0,6.0,73.0,,6.0,,1.0,,,,2.0,2.0,3.0,,2.0,7.0,,1.0,,,2.0,7.0,1.0,3.0,,5.0,,10.0,,2.0,4.0,0.3049,1.0,0.5595,2.0,,3.0,,1.0,,,,1.0,3.0,1.0,2.0,1.0,,2.0,,,,3.0,1.0,1.0,,,,0.0,,,,,,1.0,,,,,,,,,
2404,Michael Carrick,Midfielder,Manchester United,England,2015-16,57.0,1.5199,0.0,,43.0,,153.0,28.0,22.0,212.0,1568.0,,,26.0,3.0,,1975.0,10.0,80.0,4.0,64.0,1246.0,,,20.4772,,2.0,36.0,24.0,47.0,385.0,,13.0,0.0,137.0,,509.0,152.0,28.0,,,811.0,20.0,111.0,16.0,0.0,,1535.0,252.0,27.0,,,563.0,110.0,1811.0,22.0,549.0,,4.0,59.0,41.0,3.0,6.0,2.0,6.0,4.0,48.0,8.0,,1.0,29.0,16.0,2.0,17.0,1.0,8.0,3.0,11.0,44.0,111.0,3.0,7.0,9.0,0.2434,1.0,0.494,1.0,,13.0,,5.0,,,,10.0,1.0,,5.0,5.0,,4.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,
18892,Ashley Young,Defender,Everton,England,2015-16,60.0,1.3291,0.0,,20.0,,90.0,18.0,11.0,126.0,566.0,,,18.0,2.0,,1063.0,6.0,64.0,2.0,52.0,404.0,,2.0,14.2851,,3.0,18.0,18.0,54.0,81.0,,20.0,0.0,124.0,,207.0,72.0,18.0,,,294.0,16.0,106.0,12.0,0.0,,545.0,250.0,14.0,,,143.0,36.0,930.0,18.0,157.0,,5.0,36.0,26.0,10.0,3.0,62.0,7.0,11.0,35.0,21.0,11.0,1.0,10.0,6.0,66.0,31.0,1.0,12.0,,15.0,26.0,135.0,110.0,3.0,10.0,0.8625,3.0,1.0957,4.0,2.0,9.0,2.0,2.0,1.0,1.0,,8.0,23.0,1.0,12.0,2.0,1.0,1.0,,,2.0,2.0,1.0,0.0,6.0,1.0,,1.0,1.0,,4.0,,,1.0,,1.0,1.0,0.0813,,,,,
59846,Ander Herrera,Midfielder,Boca Juniors,Spain,2015-16,110.0,1.8492,0.0,,56.0,,133.0,27.0,17.0,175.0,1097.0,,,14.0,4.0,,1532.0,7.0,103.0,1.0,96.0,876.0,,1.0,15.1098,,1.0,17.0,15.0,103.0,303.0,,21.0,2.0,213.0,,279.0,118.0,27.0,,,588.0,14.0,199.0,7.0,0.0,,1076.0,292.0,45.0,,,245.0,46.0,1435.0,22.0,340.0,,4.0,42.0,42.0,6.0,11.0,24.0,10.0,6.0,36.0,37.0,3.0,2.0,21.0,11.0,28.0,43.0,2.0,19.0,6.0,28.0,24.0,270.0,5.0,11.0,20.0,2.7173,6.0,2.5549,13.0,2.0,72.0,1.0,9.0,1.0,1.0,,19.0,11.0,7.0,16.0,9.0,1.0,7.0,,,1.0,2.0,3.0,1.0,7.0,2.0,1.0,2.0,2.0,,4.0,,,2.0,,1.0,1.0,0.1359,4.0,1.0,1.0,1.0,1.0
82205,Nick Powell,Midfielder,Bradford City,England,2015-16,3.0,0.0002,0.0,,,,1.0,1.0,,1.0,2.0,,,4.0,,,16.0,3.0,1.0,,,1.0,,,,,,,,,,,,0.0,4.0,,,,1.0,,,1.0,,,1.0,0.0,,2.0,1.0,,,,1.0,,2.0,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41184,Marouane Fellaini,Midfielder,Manchester United,Belgium,2015-16,123.0,0.7321,0.0,,25.0,,92.0,18.0,12.0,97.0,590.0,,,94.0,3.0,,1068.0,45.0,103.0,3.0,54.0,478.0,,1.0,9.321,,2.0,22.0,11.0,78.0,160.0,,13.0,0.0,226.0,,135.0,91.0,18.0,,,300.0,8.0,132.0,49.0,0.0,,587.0,161.0,18.0,,,171.0,15.0,805.0,4.0,193.0,,2.0,5.0,21.0,,8.0,2.0,6.0,,21.0,58.0,,7.0,9.0,7.0,2.0,40.0,7.0,17.0,2.0,33.0,10.0,124.0,5.0,6.0,13.0,3.7861,8.0,2.5642,15.0,,29.0,4.0,1.0,7.0,7.0,,11.0,9.0,7.0,5.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,,0.0,,,,,,1.0,,,,,2.0,,,,
42774,Morgan Schneiderlin,Midfielder,Nice,France,2015-16,121.0,,0.0,,71.0,,114.0,29.0,25.0,153.0,1459.0,,,50.0,14.0,,2204.0,31.0,114.0,1.0,95.0,1206.0,,,,,4.0,48.0,21.0,90.0,404.0,,15.0,,235.0,,390.0,161.0,29.0,,,706.0,20.0,185.0,19.0,0.0,,1430.0,208.0,50.0,,,497.0,100.0,1783.0,16.0,600.0,,3.0,39.0,45.0,,4.0,6.0,4.0,,25.0,,,,19.0,21.0,7.0,,,9.0,5.0,52.0,74.0,168.0,,4.0,40.0,,1.0,,7.0,,49.0,,,,,,9.0,5.0,6.0,4.0,,,1.0,,,1.0,,1.0,,3.0,,,,,,1.0,,,1.0,,,,,2.0,,,,
15208,Bastian Schweinsteiger,Midfielder,Manchester United,Germany,2015-16,88.0,0.8022,0.0,,36.0,,114.0,18.0,13.0,153.0,1067.0,,,38.0,2.0,,1202.0,22.0,81.0,,65.0,850.0,,1.0,11.3598,,7.0,16.0,10.0,66.0,332.0,,17.0,0.0,169.0,,353.0,106.0,18.0,,,567.0,10.0,131.0,16.0,0.0,,1042.0,213.0,25.0,,,230.0,64.0,1290.0,10.0,349.0,,3.0,39.0,30.0,2.0,3.0,5.0,5.0,2.0,43.0,18.0,,1.0,23.0,11.0,5.0,31.0,1.0,13.0,3.0,19.0,23.0,152.0,4.0,5.0,15.0,1.2674,3.0,0.9426,9.0,,20.0,,2.0,2.0,2.0,,8.0,3.0,6.0,2.0,2.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,1.0,,,1.0,
156689,Andreas Pereira,Midfielder,Fulham,Brazil,2015-16,12.0,0.3248,0.0,,1.0,,5.0,4.0,,7.0,49.0,,,2.0,,,80.0,2.0,6.0,,6.0,42.0,,1.0,1.3454,,,,2.0,10.0,14.0,,1.0,0.0,18.0,,17.0,7.0,4.0,,,41.0,2.0,16.0,,0.0,,47.0,21.0,1.0,,,11.0,,77.0,,5.0,,2.0,2.0,1.0,2.0,,4.0,4.0,4.0,1.0,1.0,,,1.0,,7.0,4.0,,4.0,,2.0,1.0,7.0,1.0,,1.0,,,,,,,,,,,,3.0,1.0,,2.0,,,,,,,1.0,,,6.0,,2.0,,,,3.0,,,,,,,,,,,,
180807,Sean Goss,Midfielder,AS Trencín,Northern Ireland,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156685,Joe Rothwell,Midfielder,Bournemouth,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156686,James Weir,Midfielder,Bolton Wanderers,England,2015-16,,,0.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176291,Joe Riley,Midfielder,Tamworth,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106824,Memphis Depay,Forward,Atlético de Madrid,Netherlands,2015-16,143.0,1.8607,0.0,,13.0,,111.0,29.0,16.0,123.0,642.0,,,24.0,4.0,,1474.0,16.0,84.0,3.0,76.0,495.0,,2.0,18.5643,,2.0,8.0,21.0,127.0,243.0,,35.0,1.0,227.0,,133.0,85.0,29.0,,,410.0,18.0,203.0,8.0,0.0,,617.0,365.0,10.0,,,76.0,24.0,1090.0,6.0,124.0,,2.0,12.0,14.0,7.0,18.0,54.0,13.0,15.0,32.0,94.0,1.0,4.0,8.0,3.0,74.0,100.0,4.0,28.0,1.0,20.0,10.0,190.0,7.0,6.0,4.0,4.9888,17.0,4.2176,39.0,,48.0,8.0,14.0,6.0,6.0,,12.0,31.0,22.0,27.0,14.0,,,,2.0,1.0,13.0,2.0,1.0,38.0,9.0,8.0,1.0,9.0,1.0,13.0,,,1.0,,13.0,13.0,0.8537,7.0,,,,
