playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulCrossesOpenPlay,goals,oboxBlocked,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,groundDuelsLost,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,throughBalls,goalAssists,offsides,shotsOnTargetOutsideBox,oboxTarget,rightFootGoals,clearancesOffTheLine,expectedGoalsFreekick,successfulLayoffs,freekickTotal,attemptsFromSetPieces,handballsConceded,substituteOn,ownGoalScored,cornersTakenInclShortCorners,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,hitWoodwork,secondGoalAssists,foulWonPenalty,otherGoals,penaltiesTaken,penaltyGoals
192290,Connor Roberts,Midfielder,Burnley U21,Wales,2017-18,6.0,,0.0726,0.0,,,15.0,4.0,3.0,27.0,135.0,,9.0,,,268.0,,6.0,16.0,1.0,12.0,13.0,103.0,,,,4.1269,,2.0,6.0,4.0,5.0,,7.0,22.0,,43.0,17.0,4.0,,,61.0,3.0,13.0,3.0,0.0,,134.0,51.0,,,47.0,,5.0,208.0,9.0,47.0,,0.0,12.0,8.0,,,,,6.0,,13.0,,,,,,,1.0,9.0,,,2.0,2.0,,,13.0,,,,4.0,,,3.0,40.0,23.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
76542,Ki Sung-Yueng,Midfielder,Seoul,South Korea,2017-18,57.0,,1.9317,0.0,,,79.0,25.0,21.0,100.0,836.0,,26.0,4.0,,1869.0,1.0,21.0,54.0,4.0,26.0,49.0,673.0,,,1.0,30.758,17.0,3.0,20.0,29.0,266.0,,17.0,111.0,,166.0,95.0,25.0,,,379.0,25.0,85.0,5.0,0.0,,793.0,172.0,,,264.0,10.0,63.0,1086.0,7.0,378.0,,2.0,21.0,26.0,1.0,6.0,6.0,2.1215,25.0,14.0,6.0,2.0,4.0,21.0,,,,16.0,1.0,2.0,36.0,15.0,7.0,6.0,,41.0,2.0,8.0,9.0,18.0,7.0,1.0,32.0,140.0,1.0,5.0,4.0,6.0,0.9562,1.0,2.0,1.0,4.0,4.0,1.0,,0.0478,12.0,1.0,1.0,,4.0,,42.0,15.0,1.0,25.0,,,,,,
15114,Leon Britton,Midfielder,Swansea City U23,England,2017-18,18.0,,0.0403,0.0,,,9.0,5.0,4.0,10.0,137.0,,4.0,,,304.0,,4.0,7.0,,2.0,7.0,125.0,,,,2.2478,,,1.0,1.0,49.0,,1.0,25.0,,23.0,19.0,5.0,,,55.0,1.0,21.0,,0.0,,131.0,17.0,,,44.0,7.0,2.0,157.0,,72.0,,1.0,1.0,3.0,,,,,6.0,,1.0,,,,,,,2.0,,,14.0,2.0,1.0,1.0,,1.0,,,,5.0,,1.0,1.0,21.0,,4.0,,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
49277,Leroy Fer,Midfielder,Alanyaspor,Netherlands,2017-18,92.0,,0.8343,0.0,,,90.0,20.0,15.0,120.0,632.0,,64.0,3.0,,1399.0,,22.0,137.0,4.0,23.0,95.0,469.0,,,1.0,24.0233,9.0,1.0,23.0,26.0,125.0,,26.0,229.0,,170.0,76.0,20.0,,,263.0,22.0,165.0,42.0,0.0,,619.0,183.0,,,209.0,28.0,43.0,873.0,5.0,250.0,,5.0,30.0,33.0,1.0,2.0,3.0,1.1602,44.0,10.0,7.0,1.0,1.0,1.0,1.0,1.0,,15.0,,1.0,70.0,14.0,12.0,6.0,,7.0,1.0,7.0,4.0,32.0,26.0,4.0,12.0,128.0,2.0,5.0,1.0,19.0,1.686,3.0,1.0,1.0,1.0,1.0,,,,31.0,,,1.0,5.0,,,,1.0,,,,,,,
57586,Luciano Narsingh,Forward,Feyenoord,Netherlands,2017-18,48.0,,0.4734,0.0,,,33.0,18.0,5.0,37.0,194.0,,17.0,,,617.0,1.0,15.0,37.0,1.0,17.0,35.0,153.0,,,2.0,14.5479,11.0,1.0,3.0,15.0,14.0,,11.0,85.0,,33.0,32.0,18.0,,,120.0,14.0,68.0,2.0,0.0,,193.0,101.0,,,74.0,3.0,4.0,333.0,3.0,41.0,,0.0,4.0,11.0,4.0,1.0,5.0,1.3687,7.0,8.0,19.0,1.0,,4.0,4.0,4.0,,30.0,,1.0,33.0,7.0,2.0,11.0,,19.0,1.0,3.0,9.0,5.0,17.0,,3.0,73.0,2.0,4.0,,1.0,0.8394,,,4.0,,,,,,2.0,,,,13.0,,,,1.0,,1.0,1.0,,,,
21083,Nathan Dyer,Midfielder,Swansea City,England,2017-18,115.0,,1.0915,0.0,,,90.0,24.0,16.0,97.0,512.0,,34.0,,,1312.0,3.0,29.0,70.0,5.0,33.0,65.0,410.0,,,3.0,22.7253,10.0,,2.0,21.0,79.0,,20.0,185.0,,105.0,82.0,24.0,,,284.0,16.0,151.0,5.0,0.0,,510.0,227.0,,,162.0,17.0,5.0,775.0,6.0,136.0,,2.0,7.0,19.0,5.0,4.0,2.0,0.3951,22.0,6.0,27.0,,3.0,5.0,1.0,1.0,,31.0,1.0,1.0,86.0,13.0,6.0,25.0,,28.0,1.0,4.0,5.0,16.0,23.0,,11.0,166.0,6.0,13.0,3.0,11.0,0.9376,2.0,,1.0,1.0,1.0,,,,34.0,,,,8.0,,,,,,1.0,,,,,
93464,Tom Carroll,Midfielder,Reading,England,2017-18,108.0,,4.1452,0.0,,,185.0,37.0,28.0,251.0,1444.0,,32.0,6.0,,2569.0,1.0,21.0,94.0,6.0,61.0,83.0,1113.0,,,3.0,46.021,43.0,3.0,15.0,39.0,356.0,,17.0,202.0,,499.0,139.0,37.0,,,770.0,33.0,170.0,11.0,0.0,,1389.0,407.0,,,360.0,23.0,80.0,1863.0,9.0,464.0,,3.0,66.0,52.0,8.0,9.0,3.0,0.6179,53.0,11.0,32.0,,9.0,41.0,2.0,2.0,,20.0,,,87.0,29.0,20.0,5.0,,88.0,,8.0,14.0,33.0,14.0,8.0,29.0,229.0,1.0,8.0,9.0,12.0,0.9386,3.0,4.0,1.0,1.0,1.0,,,0.3815,32.0,5.0,5.0,1.0,9.0,,70.0,26.0,,37.0,2.0,,,,,
11829,Wayne Routledge,Midfielder,Swansea City,England,2017-18,34.0,,0.7316,0.0,,,42.0,15.0,4.0,50.0,160.0,,14.0,,,423.0,1.0,9.0,21.0,1.0,14.0,16.0,109.0,,,,9.613,6.0,,4.0,11.0,40.0,,,55.0,,47.0,28.0,15.0,,,76.0,10.0,41.0,5.0,0.0,,158.0,86.0,,,33.0,9.0,1.0,243.0,2.0,38.0,,1.0,8.0,17.0,4.0,1.0,2.0,0.4283,10.0,4.0,9.0,,,4.0,2.0,2.0,,13.0,,1.0,25.0,5.0,5.0,4.0,,11.0,1.0,2.0,1.0,5.0,6.0,,2.0,40.0,1.0,3.0,,3.0,0.4174,,,,,,,,,7.0,,,,11.0,,3.0,,,2.0,,,,,,
74033,Sam Clucas,Midfielder,Shrewsbury Town,England,2017-18,91.0,,1.0812,0.0,,,94.0,29.0,23.0,129.0,786.0,,73.0,5.0,,2042.0,2.0,36.0,89.0,2.0,36.0,52.0,624.0,,,2.0,31.7715,14.0,2.0,30.0,30.0,232.0,,14.0,180.0,,183.0,110.0,29.0,,,343.0,28.0,107.0,37.0,0.0,,768.0,233.0,,,184.0,10.0,33.0,1113.0,23.0,326.0,,2.0,35.0,32.0,4.0,4.0,7.0,3.846,34.0,16.0,16.0,3.0,2.0,12.0,3.0,3.0,,31.0,7.0,2.0,55.0,24.0,15.0,4.0,,43.0,2.0,9.0,4.0,19.0,5.0,7.0,29.0,187.0,20.0,7.0,2.0,9.0,2.7163,2.0,1.0,3.0,1.0,1.0,1.0,,,18.0,,,,6.0,,24.0,5.0,2.0,16.0,,,,,,
13152,Andy King,Midfielder,Bristol City,Wales,2017-18,40.0,,0.5472,0.0,,,71.0,22.0,14.0,101.0,560.0,,29.0,1.0,,1253.0,,14.0,54.0,5.0,13.0,39.0,433.0,,,,14.6515,6.0,4.0,26.0,26.0,162.0,,11.0,94.0,,172.0,75.0,22.0,,,228.0,21.0,65.0,15.0,0.0,,547.0,131.0,,,142.0,9.0,26.0,705.0,11.0,233.0,,2.0,30.0,15.0,2.0,5.0,5.0,1.061,26.0,9.0,11.0,3.0,2.0,2.0,1.0,1.0,,18.0,1.0,1.0,26.0,9.0,10.0,3.0,,11.0,1.0,4.0,4.0,16.0,2.0,2.0,11.0,84.0,2.0,7.0,2.0,4.0,0.9797,1.0,,1.0,1.0,1.0,2.0,,,9.0,,,1.0,8.0,,,,1.0,,,,1.0,,,
171319,Renato Sanches,Midfielder,Panathinaikos,Portugal,2017-18,72.0,,0.3819,0.0,,,54.0,12.0,9.0,62.0,379.0,,15.0,,,703.0,4.0,13.0,59.0,2.0,13.0,57.0,300.0,,,,14.7713,6.0,,4.0,10.0,98.0,,20.0,131.0,,85.0,50.0,12.0,,,189.0,8.0,116.0,2.0,0.0,,370.0,145.0,,,109.0,8.0,17.0,579.0,2.0,133.0,,1.0,8.0,14.0,1.0,3.0,,,12.0,9.0,12.0,,2.0,5.0,,,,10.0,,1.0,59.0,8.0,5.0,15.0,,27.0,1.0,9.0,2.0,7.0,25.0,1.0,7.0,87.0,8.0,5.0,2.0,3.0,0.4915,1.0,,,,,,,0.2625,24.0,4.0,4.0,,3.0,,11.0,4.0,,7.0,,1.0,,,,
57001,Wilfried Bony,Forward,Swansea City U23,Cote d’Ivoire,2017-18,87.0,,0.1775,0.0,,,76.0,15.0,8.0,77.0,208.0,,103.0,2.0,,704.0,5.0,59.0,69.0,1.0,15.0,25.0,128.0,,,,9.8582,4.0,1.0,15.0,8.0,34.0,,11.0,156.0,,60.0,15.0,15.0,,,87.0,7.0,53.0,44.0,0.0,,196.0,122.0,,,54.0,7.0,3.0,329.0,,44.0,,2.0,1.0,12.0,,5.0,7.0,1.2469,5.0,15.0,,2.0,3.0,,3.0,3.0,,19.0,,2.0,28.0,3.0,1.0,3.0,,,2.0,8.0,2.0,4.0,10.0,1.0,2.0,60.0,,4.0,3.0,2.0,1.6046,,,2.0,2.0,2.0,2.0,,,17.0,,,1.0,7.0,,,,,,,,,,,
173879,Tammy Abraham,Forward,Aston Villa,England,2017-18,153.0,,0.8215,0.0,,,88.0,31.0,15.0,97.0,300.0,,97.0,1.0,,1720.0,7.0,58.0,103.0,3.0,13.0,64.0,197.0,,,2.0,32.3019,11.0,1.0,11.0,31.0,69.0,,27.0,256.0,,72.0,41.0,31.0,,,142.0,28.0,159.0,39.0,0.0,,273.0,235.0,,,72.0,15.0,6.0,597.0,3.0,63.0,,0.0,9.0,11.0,2.0,11.0,15.0,4.4975,10.0,31.0,11.0,5.0,3.0,2.0,9.0,9.0,,72.0,,8.0,95.0,7.0,2.0,20.0,,11.0,8.0,16.0,13.0,8.0,27.0,1.0,1.0,87.0,1.0,6.0,3.0,3.0,6.8343,2.0,1.0,9.0,1.0,1.0,4.0,,,24.0,,,3.0,16.0,,,,,,,,,1.0,,
80146,Jordan Ayew,Forward,Leicester City,Ghana,2017-18,375.0,,1.7117,1.0,,,130.0,36.0,33.0,145.0,835.0,,174.0,4.0,,2856.0,9.0,122.0,293.0,6.0,67.0,241.0,672.0,,,1.0,52.4817,14.0,2.0,17.0,49.0,211.0,,87.0,668.0,,152.0,141.0,36.0,,,467.0,43.0,494.0,52.0,1.0,,806.0,464.0,,,181.0,63.0,18.0,1616.0,6.0,228.0,,2.0,15.0,21.0,5.0,26.0,21.0,7.4449,82.0,40.0,39.0,7.0,9.0,5.0,7.0,7.0,,111.0,,17.0,253.0,40.0,22.0,50.0,1.0,40.0,17.0,19.0,35.0,60.0,74.0,3.0,24.0,291.0,5.0,10.0,9.0,43.0,7.4566,3.0,2.0,8.0,7.0,7.0,4.0,,0.2871,74.0,4.0,4.0,3.0,3.0,,,,2.0,,4.0,,,,1.0,1.0
45124,André Ayew,Forward,Nottingham Forest,Ghana,2017-18,196.0,,0.8349,0.0,,,111.0,30.0,19.0,124.0,582.0,,145.0,,,1843.0,4.0,99.0,136.0,7.0,37.0,90.0,446.0,,,3.0,18.0799,12.0,1.0,11.0,41.0,115.0,,36.0,332.0,,129.0,93.0,30.0,,,297.0,34.0,187.0,46.0,0.0,,565.0,225.0,,,165.0,24.0,12.0,875.0,5.0,163.0,,5.0,13.0,24.0,2.0,4.0,12.0,1.5794,34.0,22.0,14.0,3.0,1.0,2.0,7.0,7.0,,63.0,1.0,1.0,97.0,17.0,10.0,8.0,,14.0,1.0,10.0,6.0,24.0,21.0,1.0,9.0,173.0,3.0,8.0,1.0,18.0,1.8592,5.0,4.0,6.0,,,1.0,,,52.0,,,,11.0,,,,2.0,,1.0,,1.0,,1.0,
