season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,expectedGoals_h,expectedGoals_a,expectedGoalsOnTarget_h,expectedGoalsOnTarget_a,hitWoodwork_h,hitWoodwork_a,expectedAssists_h,expectedAssists_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,expectedGoalsOnTargetConceded_h,expectedGoalsOnTargetConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,bigChanceScored_h,bigChanceScored_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceMissed_h,bigChanceMissed_a,blockedPass_h,blockedPass_a,totalDistance_h,totalDistance_a
2009-10,284010,2,2010-01-20 19:45:00,"Emirates Stadium, London",59084.0,Arsenal,Bolton,4,2,2,4,W,L,1,2,2,1,0,0,0,0,4.0,2.0,21.0,12.0,13.0,4.0,6.0,5.0,2.0,3.0,,,,,,,,,2.0,1.0,15.0,7.0,10.0,4.0,24.0,32.0,93.0,88.0,510.0,293.0,422.0,169.0,62.9,37.1,,,14.0,23.0,9.0,20.0,25.0,21.0,40.0,38.0,13.0,13.0,3.0,1.0,,,,,4.0,12.0,15.0,6.0,169.0,185.0,,,2.0,4.0,,,,,,,59.0,69.0,69.0,59.0,18.0,22.0,22.0,18.0,9.0,3.0,9.0,3.0,1.0,2.0,22.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,,1.0,,1.0,4.0,1.0,,,,,,,,,,
2009-10,284011,2,2009-08-19 19:45:00,"St. Andrew's @ Knighthead Park, Birmingham",19922.0,Birmingham,Portsmouth,1,0,0,1,W,L,0,0,0,0,0,0,0,0,1.0,,14.0,10.0,5.0,3.0,4.0,5.0,5.0,2.0,,,,,,,,,,,9.0,7.0,5.0,3.0,33.0,19.0,90.0,70.0,344.0,389.0,239.0,287.0,47.8,52.2,,,20.0,19.0,13.0,13.0,26.0,22.0,37.0,47.0,22.0,28.0,2.0,5.0,1.0,3.0,,,8.0,8.0,12.0,16.0,173.0,172.0,,,,1.0,,,1.0,,,,72.0,58.0,58.0,72.0,24.0,20.0,20.0,24.0,4.0,5.0,4.0,5.0,1.0,,11.0,20.0,20.0,11.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,4.0,,,,,,,,,,
2009-10,284012,2,2009-08-19 19:45:00,"Turf Moor, Burnley",20872.0,Burnley,Man Utd,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,9.0,19.0,3.0,3.0,6.0,10.0,,6.0,,,,,,,,,,,5.0,18.0,2.0,8.0,22.0,52.0,69.0,102.0,292.0,569.0,198.0,454.0,33.3,66.7,15.0,36.0,9.0,15.0,5.0,13.0,20.0,11.0,73.0,14.0,43.0,4.0,6.0,,,,,,9.0,2.0,6.0,8.0,156.0,171.0,3.0,2.0,,1.0,,,1.0,,,,36.0,40.0,40.0,36.0,11.0,8.0,8.0,11.0,1.0,13.0,1.0,13.0,1.0,,8.0,12.0,12.0,8.0,0.0,0.0,0.0,0.0,,1.0,,,,3.0,,,,,,,,,,
2009-10,284013,2,2009-11-25 20:00:00,"Craven Cottage, London",21414.0,Fulham,Blackburn,3,0,0,3,W,L,1,0,0,1,0,0,0,0,3.0,,13.0,13.0,4.0,3.0,5.0,8.0,4.0,2.0,,,,,,,,,2.0,,11.0,11.0,6.0,3.0,22.0,34.0,75.0,114.0,371.0,442.0,251.0,318.0,46.3,53.7,,,16.0,13.0,9.0,7.0,18.0,9.0,47.0,33.0,24.0,17.0,2.0,4.0,,,,,4.0,1.0,8.0,7.0,183.0,191.0,,,,3.0,,,1.0,,,,42.0,51.0,51.0,42.0,13.0,27.0,27.0,13.0,3.0,3.0,3.0,3.0,2.0,2.0,9.0,13.0,12.0,7.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,,,,,,,,,,
2009-10,284014,2,2009-08-19 19:45:00,"The MKM Stadium, Hull",24735.0,Hull,Spurs,1,5,5,1,L,W,1,3,3,1,0,0,0,0,1.0,5.0,10.0,18.0,6.0,8.0,2.0,6.0,2.0,4.0,,,,,,,,,,5.0,7.0,13.0,6.0,8.0,24.0,19.0,76.0,70.0,305.0,440.0,204.0,345.0,41.8,58.2,,,12.0,17.0,4.0,14.0,22.0,20.0,22.0,38.0,15.0,29.0,4.0,2.0,,,,,12.0,4.0,12.0,7.0,151.0,140.0,,,5.0,1.0,,,,,,,43.0,69.0,69.0,43.0,14.0,16.0,16.0,14.0,6.0,5.0,6.0,5.0,,2.0,24.0,13.0,13.0,24.0,0.0,0.0,0.0,0.0,,,,,2.0,5.0,,,,,,,,,,
2009-10,284015,2,2009-08-18 19:45:00,"Stadium of Light, Sunderland",41179.0,Sunderland,Chelsea,1,3,3,1,L,W,1,0,0,1,0,0,0,0,1.0,3.0,4.0,27.0,1.0,6.0,1.0,12.0,2.0,9.0,,,,,,,,,,2.0,2.0,22.0,1.0,12.0,20.0,36.0,70.0,92.0,224.0,658.0,121.0,572.0,26.1,73.9,,,23.0,13.0,16.0,10.0,27.0,9.0,39.0,35.0,22.0,20.0,10.0,2.0,,,,,9.0,,10.0,13.0,158.0,155.0,,,3.0,1.0,,,,,,,47.0,52.0,52.0,47.0,14.0,15.0,15.0,14.0,1.0,14.0,1.0,14.0,,,15.0,11.0,10.0,15.0,0.0,0.0,0.0,0.0,,1.0,,1.0,3.0,1.0,,,,,,,,,,
2009-10,284016,2,2009-11-04 19:45:00,"Boleyn Ground, London",30024.0,West Ham,Aston Villa,2,1,1,2,W,L,1,0,0,1,0,1,1,0,2.0,1.0,20.0,19.0,7.0,8.0,8.0,4.0,5.0,7.0,,,,,,,,,1.0,1.0,13.0,12.0,9.0,9.0,27.0,19.0,67.0,71.0,385.0,297.0,289.0,220.0,54.2,45.8,,,20.0,19.0,18.0,15.0,14.0,15.0,34.0,42.0,16.0,15.0,7.0,5.0,,,,,6.0,5.0,7.0,10.0,164.0,168.0,,,1.0,2.0,,,,,,,52.0,55.0,55.0,52.0,11.0,19.0,19.0,11.0,6.0,14.0,6.0,14.0,2.0,2.0,11.0,16.0,16.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,3.0,3.0,,,,,,,,,,
2009-10,284017,2,2009-08-18 19:45:00,"The Brick Community Stadium, Wigan",16661.0,Wigan,Wolves,0,1,1,0,L,W,0,1,1,0,0,0,0,0,,1.0,20.0,9.0,4.0,2.0,11.0,6.0,5.0,1.0,,,,,,1.0,,,,1.0,15.0,7.0,5.0,3.0,14.0,19.0,76.0,76.0,485.0,260.0,371.0,161.0,64.2,35.8,,,12.0,20.0,11.0,14.0,15.0,6.0,29.0,40.0,12.0,27.0,1.0,5.0,,,,,2.0,2.0,15.0,5.0,177.0,151.0,,,1.0,,,,,1.0,,,51.0,45.0,45.0,51.0,15.0,15.0,15.0,15.0,4.0,4.0,4.0,4.0,4.0,2.0,8.0,25.0,22.0,8.0,0.0,0.0,0.0,0.0,,,,,5.0,3.0,,,,,,,,,,
2009-10,284018,2,2009-08-19 20:00:00,"Anfield, Liverpool",44318.0,Liverpool,Stoke,4,0,0,4,W,L,2,0,0,2,0,0,0,0,4.0,,21.0,6.0,14.0,3.0,6.0,1.0,1.0,2.0,,,,,,,,,2.0,,16.0,5.0,12.0,4.0,19.0,21.0,83.0,58.0,562.0,176.0,484.0,112.0,75.9,24.1,,,15.0,14.0,11.0,11.0,9.0,20.0,33.0,40.0,20.0,23.0,2.0,2.0,,,,,,9.0,5.0,7.0,136.0,131.0,,,,4.0,,,1.0,,,,45.0,34.0,34.0,45.0,12.0,11.0,11.0,12.0,11.0,5.0,11.0,5.0,,1.0,11.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,,,,,,3.0,,,,,,,,,,
2009-10,284019,2,2010-03-24 19:45:00,"Etihad Stadium, Manchester",45708.0,Man City,Everton,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,17.0,10.0,4.0,3.0,6.0,3.0,7.0,4.0,,,,,,,,,,2.0,13.0,8.0,8.0,5.0,24.0,18.0,79.0,74.0,500.0,334.0,413.0,244.0,59.9,40.1,,,15.0,21.0,8.0,17.0,24.0,15.0,21.0,49.0,9.0,20.0,4.0,7.0,,,,,5.0,10.0,14.0,14.0,157.0,160.0,,,2.0,,,,,1.0,,,47.0,56.0,56.0,47.0,11.0,18.0,18.0,11.0,7.0,4.0,7.0,4.0,1.0,3.0,11.0,13.0,11.0,11.0,0.0,0.0,0.0,0.0,,,,,5.0,1.0,,,,,,,,,,
2009-10,284020,3,2009-08-22 15:00:00,"Emirates Stadium, London",60049.0,Arsenal,Portsmouth,4,1,1,4,W,L,2,1,1,2,0,0,0,0,4.0,1.0,23.0,10.0,12.0,3.0,4.0,5.0,7.0,2.0,,,,,,,,,4.0,1.0,20.0,9.0,16.0,4.0,27.0,15.0,77.0,57.0,596.0,393.0,531.0,322.0,59.5,40.5,,,18.0,21.0,15.0,16.0,28.0,22.0,15.0,18.0,11.0,9.0,2.0,7.0,,1.0,1.0,,9.0,16.0,15.0,9.0,120.0,119.0,,,1.0,4.0,,,,,,,55.0,49.0,49.0,55.0,9.0,10.0,10.0,9.0,8.0,4.0,8.0,4.0,2.0,1.0,9.0,12.0,12.0,9.0,0.0,0.0,0.0,0.0,,,,,5.0,2.0,,,,,,,,,,
2009-10,284021,3,2009-08-22 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",21694.0,Birmingham,Stoke,0,0,0,0,D,D,0,0,0,0,0,0,0,0,,,11.0,16.0,2.0,1.0,5.0,12.0,4.0,3.0,,,,,,,,,,,8.0,12.0,3.0,3.0,19.0,35.0,92.0,96.0,343.0,251.0,242.0,150.0,56.4,43.6,,,16.0,19.0,11.0,17.0,6.0,8.0,65.0,53.0,33.0,35.0,3.0,4.0,1.0,,,,4.0,3.0,7.0,10.0,180.0,179.0,,,,,,,1.0,1.0,,,44.0,56.0,56.0,44.0,12.0,26.0,26.0,12.0,3.0,3.0,3.0,3.0,2.0,1.0,10.0,16.0,13.0,7.0,0.0,0.0,0.0,0.0,,,,,4.0,1.0,,,,,,,,,,
2009-10,284022,3,2009-08-23 15:00:00,"Turf Moor, Burnley",19983.0,Burnley,Everton,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,12.0,23.0,3.0,1.0,7.0,9.0,2.0,13.0,,,,,1.0,,,,1.0,,9.0,15.0,4.0,10.0,24.0,42.0,75.0,91.0,284.0,413.0,185.0,317.0,40.6,59.4,22.0,17.0,18.0,18.0,15.0,12.0,20.0,13.0,52.0,31.0,25.0,20.0,13.0,1.0,1.0,,,1.0,9.0,6.0,14.0,13.0,161.0,159.0,1.0,2.0,,1.0,,,1.0,,,,50.0,47.0,47.0,50.0,13.0,7.0,7.0,13.0,3.0,7.0,3.0,7.0,,1.0,13.0,14.0,13.0,13.0,0.0,0.0,0.0,0.0,,1.0,,,2.0,1.0,,,,,,,,,,
2009-10,284023,3,2009-08-23 16:00:00,"Craven Cottage, London",25404.0,Fulham,Chelsea,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,6.0,16.0,1.0,4.0,4.0,8.0,1.0,4.0,,,,,,,,,,2.0,4.0,13.0,1.0,7.0,17.0,33.0,73.0,85.0,362.0,574.0,266.0,481.0,39.7,60.3,,,15.0,15.0,12.0,12.0,33.0,22.0,33.0,31.0,13.0,17.0,4.0,1.0,,,,,12.0,5.0,11.0,10.0,160.0,152.0,,,2.0,,,,,1.0,,,44.0,52.0,52.0,44.0,15.0,14.0,14.0,15.0,4.0,7.0,4.0,7.0,1.0,1.0,11.0,11.0,9.0,11.0,0.0,0.0,0.0,0.0,,,,,2.0,5.0,,,,,,,,,,
2009-10,284024,3,2009-08-22 15:00:00,"The MKM Stadium, Hull",22999.0,Hull,Bolton,1,0,0,1,W,L,0,0,0,0,0,0,0,0,1.0,,12.0,23.0,4.0,5.0,7.0,11.0,1.0,7.0,,,,,1.0,,,,1.0,,11.0,13.0,5.0,4.0,23.0,44.0,87.0,95.0,271.0,298.0,164.0,191.0,46.6,53.4,,,18.0,24.0,14.0,19.0,12.0,19.0,68.0,39.0,40.0,18.0,7.0,1.0,,1.0,,1.0,6.0,5.0,16.0,9.0,183.0,191.0,,,,1.0,,,1.0,,,,61.0,71.0,71.0,61.0,20.0,22.0,22.0,20.0,4.0,10.0,4.0,12.0,1.0,2.0,19.0,19.0,18.0,19.0,0.0,0.0,0.0,0.0,,,,,3.0,,,,,,,,,,,
2009-10,284025,3,2009-08-24 20:00:00,"Anfield, Liverpool",43667.0,Liverpool,Aston Villa,1,3,3,1,L,W,0,2,2,0,0,0,0,0,1.0,3.0,24.0,8.0,11.0,4.0,8.0,1.0,5.0,3.0,,,,,1.0,,,,1.0,1.0,21.0,5.0,13.0,4.0,30.0,12.0,87.0,80.0,563.0,262.0,472.0,186.0,67.4,32.6,,,21.0,23.0,16.0,15.0,15.0,24.0,26.0,48.0,19.0,23.0,3.0,6.0,,,,,5.0,7.0,13.0,17.0,154.0,159.0,,,3.0,1.0,,,,,1.0,,55.0,50.0,50.0,55.0,16.0,8.0,8.0,16.0,10.0,4.0,10.0,4.0,,,14.0,11.0,11.0,14.0,0.0,0.0,0.0,0.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,
2009-10,284026,3,2009-08-22 15:00:00,"Etihad Stadium, Manchester",47287.0,Man City,Wolves,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,17.0,12.0,7.0,2.0,5.0,8.0,5.0,2.0,,,,,,1.0,,,1.0,,13.0,11.0,9.0,4.0,19.0,26.0,75.0,95.0,437.0,322.0,350.0,228.0,56.4,43.6,,,18.0,24.0,14.0,19.0,22.0,13.0,32.0,34.0,15.0,23.0,2.0,4.0,1.0,,,,5.0,6.0,9.0,12.0,161.0,155.0,,,,1.0,,,1.0,,,,53.0,49.0,49.0,53.0,17.0,11.0,11.0,17.0,5.0,6.0,5.0,6.0,1.0,1.0,9.0,12.0,12.0,9.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,,,,,,,,,,
2009-10,284027,3,2009-08-22 15:00:00,"Stadium of Light, Sunderland",37106.0,Sunderland,Blackburn,2,1,1,2,W,L,1,1,1,1,0,0,0,0,2.0,1.0,9.0,25.0,3.0,4.0,4.0,14.0,2.0,7.0,,,,,,1.0,,,2.0,,5.0,12.0,3.0,6.0,23.0,38.0,87.0,83.0,292.0,249.0,200.0,139.0,53.6,46.4,,,20.0,16.0,13.0,15.0,9.0,11.0,62.0,34.0,33.0,20.0,8.0,2.0,2.0,,,,2.0,7.0,10.0,12.0,173.0,185.0,,,1.0,2.0,,,,,,,63.0,45.0,45.0,63.0,19.0,15.0,15.0,19.0,,10.0,,10.0,,6.0,12.0,19.0,17.0,12.0,0.0,0.0,0.0,0.0,,,,,1.0,3.0,,,,,,,,,,
2009-10,284028,3,2009-08-23 13:30:00,"Boleyn Ground, London",33095.0,West Ham,Spurs,1,2,2,1,L,W,0,0,0,0,0,0,0,0,1.0,2.0,19.0,22.0,5.0,6.0,9.0,7.0,5.0,9.0,,,,,,1.0,,,1.0,,17.0,18.0,8.0,11.0,26.0,11.0,72.0,75.0,332.0,368.0,255.0,288.0,46.9,53.1,,,19.0,24.0,13.0,20.0,17.0,17.0,37.0,32.0,27.0,20.0,9.0,5.0,,,2.0,,9.0,4.0,15.0,11.0,140.0,143.0,,,2.0,1.0,,,,,,,43.0,63.0,63.0,43.0,9.0,15.0,15.0,9.0,4.0,8.0,4.0,8.0,,4.0,16.0,11.0,11.0,15.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,,,,,,,,,,
