playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,goals,offsides,oboxBlocked,iboxTarget,shotsOnTargetInBox,ownGoalScored,keyPassesAttemptAssists,shotsBlockedInBox,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,totalFoulsConceded,clearancesOffTheLine,backwardPasses,hitWoodwork,successfulCrossesOpenPlay,totalShots,goalAssists,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,oboxTarget,headedGoals,iboxBlocked,cornersWon,successfulDribbles,blocks,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,penaltiesConceded,otherGoals,handballsConceded,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,expectedGoalsFreekick,setPiecesGoals,penaltiesTaken,freekickTotal,attemptsFromSetPieces,penaltyGoals,secondGoalAssists,successfulCornersIntoBox
215409,Cameron John,Defender,York City,78,England,2018-19,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214048,Maximilian Kilman,Defender,West Ham United,21,England,2018-19,,,0.0,,,,,1.0,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171317,Rúben Neves,Midfielder,Wolverhampton Wanderers,39,Portugal,2018-19,167.0,1.6279,0.0,,75.0,,212.0,35.0,34.0,364.0,1940.0,1.0,,66.0,8.0,,3009.0,35.0,132.0,9.0,101.0,1364.0,,3.0,36.2876,4.0,44.0,43.0,132.0,659.0,,18.0,0.0,299.0,3.0,,609.0,286.0,35.0,,,43.0,751.0,34.0,233.0,31.0,0.0,,1877.0,463.0,,,473.0,73.0,212.0,2445.0,2.0,3.0,33.0,830.0,,8.0,152.0,92.0,1.0,30.0,16.0,4.7103,11.0,4.0,,30.0,,,,21.0,,4.0,,13.0,21.0,41.0,28.0,32.0,37.0,,199.0,,4.0,44.0,3.0,6.0,,12.0,12.0,5.0,,74.0,3.0,,39.0,12.0,,,15.0,11.0,18.0,30.0,24.0,3.9683,,,2.0,2.0,2.0,0.9145,2.0,2.0,11.0,11.0,2.0,1.0,
222531,Morgan Gibbs-White,Midfielder,Nottingham Forest,17,England,2018-19,50.0,0.9889,0.0,,6.0,,43.0,26.0,5.0,51.0,317.0,0.0,,30.0,,,650.0,18.0,36.0,5.0,24.0,246.0,,1.0,11.0797,,,12.0,32.0,72.0,,6.0,0.0,86.0,0.0,,73.0,42.0,26.0,,,3.0,159.0,7.0,56.0,12.0,0.0,,308.0,116.0,,,101.0,1.0,20.0,448.0,,5.0,5.0,113.0,,1.0,8.0,12.0,21.0,2.0,1.0,0.0321,4.0,,2.0,2.0,1.0,1.0,,10.0,,,,7.0,11.0,23.0,5.0,3.0,8.0,,71.0,1.0,2.0,6.0,1.0,9.0,,5.0,,6.0,1.0,13.0,15.0,,6.0,,,,2.0,12.0,,2.0,4.0,1.1163,,,2.0,9.0,5.0,,,,,,,,4.0
232351,Ryan Giles,Defender,Hull City,88,England,2018-19,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107613,Romain Saïss,Midfielder,Wolverhampton Wanderers,39,Morocco,2018-19,76.0,0.2519,0.0,,39.0,,116.0,19.0,12.0,169.0,737.0,1.0,,88.0,2.0,,1144.0,28.0,109.0,3.0,49.0,507.0,,,13.8605,8.0,58.0,17.0,48.0,169.0,,8.0,1.0,185.0,1.0,,311.0,82.0,19.0,,,13.0,248.0,14.0,97.0,60.0,0.0,,717.0,188.0,,,194.0,26.0,61.0,960.0,8.0,2.0,23.0,322.0,,7.0,53.0,75.0,7.0,1.0,5.0,1.5348,,2.0,,1.0,3.0,3.0,,4.0,,1.0,,2.0,7.0,4.0,5.0,26.0,27.0,,63.0,,2.0,10.0,,1.0,,7.0,,2.0,,30.0,11.0,3.0,13.0,,1.0,,,5.0,12.0,1.0,16.0,1.3876,,,,,,,,,,,,,
19624,João Moutinho,Midfielder,Sporting Braga,372,Portugal,2018-19,212.0,5.9676,0.0,,113.0,,206.0,38.0,35.0,283.0,1863.0,1.0,,61.0,7.0,,3038.0,40.0,182.0,8.0,161.0,1456.0,,3.0,34.1744,4.0,40.0,39.0,172.0,459.0,,37.0,0.0,394.0,0.0,,559.0,264.0,38.0,,,55.0,992.0,31.0,333.0,21.0,0.0,,1753.0,477.0,,,531.0,40.0,124.0,2500.0,6.0,11.0,17.0,651.0,,4.0,77.0,70.0,3.0,5.0,3.0,1.1644,4.0,1.0,,5.0,1.0,1.0,,76.0,,,1.0,10.0,133.0,37.0,10.0,58.0,53.0,,314.0,1.0,17.0,13.0,8.0,18.0,,26.0,1.0,63.0,2.0,71.0,10.0,,45.0,1.0,,,10.0,13.0,11.0,5.0,47.0,0.6529,1.0,,,159.0,89.0,0.0656,,,1.0,1.0,,,32.0
151589,Leander Dendoncker,Midfielder,Aston Villa,7,Belgium,2018-19,101.0,0.9141,0.0,,53.0,,114.0,19.0,17.0,125.0,607.0,1.0,,108.0,3.0,,1469.0,52.0,132.0,3.0,76.0,467.0,,2.0,17.0567,2.0,29.0,21.0,49.0,114.0,,11.0,1.0,233.0,1.0,,157.0,92.0,19.0,,,27.0,233.0,18.0,125.0,56.0,0.0,,607.0,155.0,,,187.0,23.0,15.0,858.0,1.0,4.0,7.0,250.0,,1.0,11.0,41.0,2.0,1.0,10.0,3.6127,,2.0,1.0,1.0,8.0,8.0,,7.0,,1.0,1.0,,6.0,7.0,6.0,26.0,11.0,,149.0,2.0,1.0,16.0,,12.0,,6.0,,1.0,1.0,42.0,34.0,,29.0,,,,5.0,12.0,6.0,1.0,6.0,3.5286,,,,,,,,,,,,,
198847,Bright Enobakhare,Forward,Coventry City,9,Nigeria,2018-19,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166324,Ivan Cavaleiro,Forward,Fulham,54,Portugal,2018-19,77.0,1.4409,0.0,,5.0,,68.0,23.0,6.0,72.0,294.0,1.0,,32.0,,,683.0,23.0,34.0,2.0,25.0,219.0,,,8.7247,,4.0,11.0,54.0,94.0,,5.0,1.0,111.0,2.0,,58.0,31.0,23.0,,,1.0,183.0,9.0,79.0,9.0,0.0,,292.0,168.0,,,58.0,4.0,3.0,494.0,7.0,6.0,1.0,56.0,,1.0,4.0,7.0,17.0,2.0,4.0,2.2384,1.0,3.0,6.0,2.0,1.0,1.0,,18.0,,3.0,,11.0,37.0,30.0,7.0,4.0,13.0,,84.0,2.0,13.0,11.0,1.0,20.0,,24.0,,17.0,3.0,29.0,34.0,,12.0,,,,9.0,15.0,,2.0,8.0,2.22,1.0,,1.0,17.0,13.0,,,,,,,,3.0
102057,Raúl Jiménez,Forward,Fulham,54,Mexico,2018-19,261.0,3.9942,0.0,,30.0,,257.0,38.0,36.0,288.0,1059.0,5.0,,185.0,4.0,,3122.0,107.0,179.0,8.0,101.0,735.0,,3.0,35.5299,3.0,39.0,40.0,154.0,247.0,,38.0,4.0,440.0,8.0,,234.0,139.0,38.0,,,12.0,493.0,32.0,255.0,78.0,0.0,,1017.0,516.0,,,253.0,26.0,36.0,1669.0,5.0,16.0,8.0,286.0,,4.0,31.0,57.0,2.0,24.0,35.0,12.4854,13.0,13.0,33.0,7.0,20.0,20.0,,35.0,17.0,9.0,1.0,35.0,19.0,103.0,52.0,18.0,42.0,,325.0,3.0,8.0,87.0,7.0,68.0,1.0,19.0,2.0,8.0,7.0,74.0,178.0,1.0,22.0,2.0,3.0,17.0,22.0,34.0,3.0,7.0,15.0,15.2243,,,5.0,,,,,2.0,,,2.0,,
165808,Hélder Costa,Forward,Leeds United,2,Angola,2018-19,150.0,1.1113,0.0,,18.0,,76.0,25.0,16.0,82.0,442.0,1.0,,45.0,,,1345.0,35.0,75.0,4.0,65.0,351.0,,,16.7783,2.0,5.0,19.0,115.0,56.0,,23.0,0.0,225.0,0.0,,88.0,76.0,25.0,,,4.0,268.0,15.0,180.0,10.0,0.0,,440.0,260.0,,,129.0,9.0,9.0,768.0,1.0,14.0,2.0,95.0,,3.0,6.0,15.0,9.0,9.0,7.0,1.7977,3.0,1.0,6.0,5.0,4.0,4.0,,15.0,4.0,,1.0,37.0,47.0,79.0,9.0,14.0,20.0,,169.0,,2.0,16.0,2.0,15.0,,42.0,2.0,3.0,1.0,39.0,36.0,,15.0,2.0,,4.0,25.0,24.0,,5.0,3.0,2.4981,,,,6.0,4.0,,,,,,,1.0,
194634,Diogo Jota,Forward,Liverpool,14,Portugal,2018-19,246.0,3.827,0.0,,28.0,,169.0,33.0,29.0,182.0,745.0,2.0,,98.0,2.0,,2368.0,71.0,167.0,6.0,140.0,547.0,,2.0,24.9689,1.0,11.0,29.0,175.0,218.0,,55.0,4.0,413.0,7.0,,191.0,138.0,33.0,,,12.0,402.0,23.0,315.0,27.0,0.0,,716.0,415.0,,,145.0,13.0,16.0,1277.0,4.0,20.0,6.0,168.0,,11.0,13.0,40.0,4.0,12.0,24.0,9.1882,3.0,9.0,6.0,3.0,11.0,11.0,,22.0,9.0,4.0,5.0,62.0,29.0,110.0,22.0,16.0,42.0,,191.0,3.0,7.0,46.0,5.0,24.0,,29.0,4.0,7.0,2.0,48.0,133.0,,19.0,4.0,,9.0,26.0,57.0,1.0,3.0,17.0,8.8257,,,1.0,,,,,,,,,,
141569,Léo Bonatini,Forward,Wolverhampton Wanderers,39,Brazil,2018-19,13.0,0.1218,0.0,,1.0,,11.0,7.0,,12.0,57.0,0.0,,4.0,,,130.0,3.0,3.0,,2.0,43.0,,,1.1071,,,,10.0,15.0,,,0.0,16.0,0.0,,10.0,11.0,7.0,,,,32.0,,12.0,1.0,0.0,,56.0,26.0,,,14.0,,2.0,84.0,,,,13.0,,0.0,1.0,2.0,7.0,2.0,1.0,0.3342,,,,,1.0,1.0,,1.0,2.0,,,2.0,4.0,6.0,6.0,1.0,,,18.0,,,7.0,1.0,5.0,,4.0,,,,6.0,16.0,,1.0,,,2.0,2.0,1.0,,,,1.2792,,,,,,,,,,,,,
159533,Adama Traoré,Forward,West Ham United,21,Spain,2018-19,113.0,2.2891,0.0,,16.0,,71.0,29.0,8.0,75.0,270.0,1.0,,58.0,,,892.0,36.0,129.0,4.0,107.0,190.0,,1.0,11.1435,2.0,6.0,13.0,77.0,35.0,,26.0,1.0,242.0,0.0,,81.0,54.0,29.0,,,3.0,149.0,9.0,184.0,22.0,0.0,,265.0,213.0,,,92.0,6.0,5.0,629.0,18.0,8.0,1.0,61.0,,1.0,4.0,15.0,21.0,5.0,7.0,1.5108,1.0,1.0,6.0,,3.0,3.0,,16.0,5.0,1.0,,16.0,20.0,61.0,7.0,13.0,15.0,,62.0,,15.0,14.0,1.0,14.0,,20.0,3.0,15.0,,28.0,47.0,2.0,11.0,3.0,,5.0,12.0,65.0,,,3.0,1.3313,,,3.0,,,,,,,,,,
