playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLayoffs,offsides,keyPassesAttemptAssists,hitWoodwork,overruns,goalAssists,foulWonPenalty,goals,awayGoals,cornersTakenInclShortCorners,unsuccessfulLayoffs,homeGoals,rightFootGoals,leftFootGoals,attemptsFromSetPieces,unsuccessfulCornersIntoBox,handballsConceded,clearancesOffTheLine,successfulCornersIntoBox,goalKicks,penaltiesConceded,ownGoalScored,gkSuccessfulDistribution,gkUnsuccessfulDistribution,setPiecesGoals,penaltiesTaken,headedGoals,otherGoals,penaltyGoals,secondGoalAssists,punches,catches,savesMade,drops,savesMadeFromOutsideBox,crossesNotClaimed,savesMadeCaught,savesMadeParried,savesMadeFromInsideBox,lastPlayerTackle
10454,Dickson Etuhu,Midfielder,Fulham,54,Nigeria,2011-12,46.0,,0.0,3.0,2.0,31.0,4.0,1.0,71.0,22.0,9.0,79.0,,565.0,13.0,19.0,4.0,,895.0,7.0,48.0,1.0,36.0,475.0,4.0,,1.0,,22.0,16.0,39.0,164.0,3.0,0.0,94.0,193.0,58.0,22.0,6.0,,246.0,15.0,,11.0,75.0,12.0,0.0,563.0,2.0,1.0,95.0,25.0,2.0,3.0,131.0,23.0,21.0,11.0,77.0,680.0,,2.0,2.0,240.0,4.0,8.0,22.0,14.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4098,John Arne Riise,Defender,Fulham,54,Norway,2011-12,81.0,22.0,0.0,15.0,9.0,68.0,37.0,,170.0,36.0,35.0,270.0,59.0,1408.0,1.0,44.0,10.0,24.0,3141.0,15.0,129.0,10.0,100.0,1035.0,48.0,85.0,2.0,10.0,108.0,45.0,66.0,607.0,20.0,0.0,210.0,521.0,145.0,36.0,14.0,19.0,549.0,35.0,66.0,32.0,166.0,29.0,0.0,1365.0,28.0,25.0,483.0,54.0,12.0,19.0,40.0,18.0,64.0,103.0,240.0,2220.0,170.0,2.0,76.0,613.0,2.0,100.0,65.0,7.0,1.0,23.0,1.0,3.0,4.0,,,,6.0,,,,,14.0,5.0,2.0,,1.0,4.0,,,1.0,3.0,,,,,,,,,,,,,,,,1.0
105086,Kerim Frei,Midfielder,Fulham,54,Turkey,2011-12,50.0,4.0,0.0,2.0,6.0,11.0,7.0,4.0,35.0,16.0,6.0,35.0,11.0,242.0,10.0,,,5.0,673.0,,38.0,2.0,38.0,202.0,14.0,,2.0,,2.0,14.0,50.0,85.0,18.0,0.0,88.0,33.0,41.0,16.0,3.0,27.0,139.0,12.0,13.0,41.0,88.0,,0.0,239.0,1.0,6.0,104.0,8.0,9.0,1.0,26.0,3.0,15.0,5.0,98.0,391.0,2.0,4.0,2.0,73.0,1.0,,8.0,8.0,3.0,8.0,2.0,4.0,,1.0,,,4.0,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
4990,Mahamadou Diarra,Midfielder,Fulham,54,Mali,2011-12,29.0,,0.0,1.0,2.0,16.0,5.0,2.0,67.0,11.0,8.0,82.0,,618.0,3.0,11.0,1.0,,753.0,4.0,46.0,2.0,39.0,492.0,9.0,,2.0,,19.0,14.0,25.0,175.0,17.0,0.0,75.0,175.0,49.0,11.0,3.0,1.0,288.0,12.0,,9.0,64.0,7.0,0.0,602.0,3.0,1.0,99.0,13.0,6.0,4.0,188.0,12.0,40.0,44.0,80.0,751.0,2.0,4.0,1.0,248.0,1.0,15.0,16.0,11.0,,15.0,,1.0,1.0,,1.0,1.0,,,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
28342,Marcel Gecov,Midfielder,Fulham,54,Czech Republic,2011-12,,,0.0,,,,,,,2.0,,,,11.0,2.0,,,,6.0,,,,,11.0,,,,,,,,1.0,,0.0,,1.0,,2.0,,,7.0,,,,,,0.0,11.0,,,,,,,5.0,,,,4.0,11.0,,,,4.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107853,Marcello Trotta,Forward,Fulham,54,Italy,2011-12,,,0.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Mark Schwarzer,Goalkeeper,Fulham,54,Australia,2011-12,2.0,,0.0,,,,,,9.0,30.0,30.0,289.0,,615.0,,2.0,10.0,,2700.0,,6.0,7.0,4.0,180.0,,,,109.0,26.0,37.0,2.0,,4.0,,8.0,,353.0,30.0,,,101.0,30.0,,,6.0,2.0,0.0,,,,,,,,,1.0,1.0,146.0,,1365.0,,,220.0,225.0,1.0,280.0,43.0,,,,,,,,,,,,,,,,,,,,,,,351.0,134.0,,,,,,,22.0,53.0,102.0,5.0,50.0,5.0,14.0,8.0,51.0,
42425,Matthew Briggs,Defender,Fulham,54,Guyana,2011-12,6.0,1.0,0.0,,,4.0,1.0,,4.0,2.0,1.0,8.0,1.0,35.0,1.0,2.0,,1.0,91.0,,13.0,,11.0,27.0,,2.0,,1.0,4.0,2.0,6.0,11.0,3.0,0.0,19.0,21.0,11.0,2.0,1.0,4.0,18.0,2.0,1.0,5.0,17.0,2.0,0.0,33.0,1.0,,18.0,3.0,4.0,,1.0,,1.0,,2.0,77.0,13.0,,4.0,10.0,0.0,4.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39104,Mousa Dembélé,Midfielder,Fulham,54,Belgium,2011-12,196.0,3.0,0.0,22.0,22.0,112.0,37.0,7.0,182.0,36.0,33.0,191.0,18.0,1681.0,3.0,34.0,7.0,3.0,2940.0,15.0,276.0,7.0,257.0,1443.0,,,,1.0,21.0,39.0,181.0,,66.0,,472.0,,213.0,36.0,27.0,50.0,930.0,32.0,18.0,,438.0,19.0,0.0,,15.0,18.0,,85.0,79.0,8.0,,47.0,33.0,47.0,,2228.0,5.0,8.0,7.0,563.0,6.0,9.0,48.0,74.0,2.0,49.0,1.0,,2.0,,2.0,,,3.0,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
88734,Neil Etheridge,Goalkeeper,Fulham,54,Philippines,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46581,Orlando Sá,Forward,Fulham,54,Portugal,2011-12,22.0,,0.0,3.0,5.0,2.0,7.0,,10.0,7.0,3.0,11.0,1.0,51.0,4.0,10.0,1.0,,281.0,7.0,10.0,,7.0,40.0,13.0,,,,1.0,3.0,15.0,8.0,4.0,0.0,32.0,4.0,1.0,7.0,,6.0,30.0,3.0,1.0,11.0,22.0,3.0,0.0,51.0,2.0,2.0,33.0,2.0,1.0,,16.0,4.0,,,23.0,93.0,,2.0,,10.0,0.0,1.0,,6.0,4.0,3.0,,1.0,,,1.0,1.0,,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81025,Pajtim Kasami,Midfielder,Fulham,54,Switzerland,2011-12,39.0,,0.0,5.0,2.0,8.0,3.0,,23.0,7.0,3.0,29.0,7.0,114.0,4.0,11.0,,2.0,266.0,8.0,18.0,,15.0,85.0,6.0,,,,1.0,5.0,31.0,20.0,5.0,0.0,57.0,27.0,13.0,7.0,2.0,5.0,45.0,5.0,11.0,18.0,46.0,3.0,0.0,114.0,1.0,4.0,68.0,6.0,2.0,,32.0,6.0,2.0,,35.0,189.0,1.0,3.0,3.0,42.0,0.0,6.0,7.0,15.0,2.0,3.0,,1.0,,,,,6.0,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
39439,Pavel Pogrebnyak,Forward,Fulham,54,Russia,2011-12,107.0,,0.0,6.0,7.0,7.0,13.0,,67.0,12.0,12.0,70.0,3.0,271.0,,51.0,1.0,,952.0,38.0,44.0,3.0,31.0,196.0,34.0,,1.0,,5.0,13.0,69.0,69.0,23.0,4.0,151.0,46.0,23.0,12.0,1.0,11.0,144.0,10.0,3.0,44.0,100.0,13.0,0.0,271.0,6.0,8.0,144.0,6.0,1.0,,76.0,22.0,4.0,5.0,80.0,413.0,,6.0,,57.0,1.0,3.0,9.0,10.0,13.0,10.0,3.0,1.0,,,6.0,1.0,,2.0,5.0,1.0,4.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
16854,Philippe Senderos,Defender,Fulham,54,Switzerland,2011-12,44.0,1.0,0.0,,2.0,22.0,7.0,,89.0,21.0,21.0,143.0,2.0,969.0,,14.0,5.0,1.0,1828.0,6.0,47.0,6.0,39.0,753.0,12.0,,2.0,10.0,102.0,31.0,38.0,139.0,9.0,2.0,91.0,435.0,75.0,21.0,3.0,2.0,195.0,25.0,2.0,5.0,77.0,8.0,0.0,950.0,5.0,2.0,159.0,19.0,8.0,18.0,326.0,21.0,39.0,73.0,69.0,1210.0,3.0,2.0,31.0,632.0,5.0,54.0,35.0,2.0,,6.0,,1.0,1.0,,1.0,0.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0
2559,Simon Davies,Midfielder,Fulham,54,Wales,2011-12,14.0,1.0,0.0,,1.0,5.0,2.0,,15.0,6.0,3.0,19.0,2.0,152.0,3.0,3.0,,2.0,300.0,1.0,9.0,,7.0,130.0,3.0,,1.0,,3.0,6.0,13.0,52.0,,0.0,23.0,36.0,10.0,6.0,2.0,2.0,89.0,6.0,2.0,6.0,20.0,2.0,0.0,150.0,1.0,1.0,34.0,3.0,2.0,,32.0,3.0,6.0,3.0,32.0,192.0,2.0,1.0,2.0,46.0,0.0,4.0,5.0,,,3.0,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9493,Stephen Kelly,Defender,Fulham,54,Ireland,2011-12,57.0,11.0,0.0,4.0,2.0,35.0,3.0,,139.0,24.0,21.0,167.0,44.0,888.0,3.0,42.0,4.0,11.0,2021.0,25.0,67.0,7.0,50.0,671.0,13.0,31.0,2.0,15.0,110.0,31.0,32.0,39.0,11.0,0.0,124.0,352.0,70.0,24.0,6.0,2.0,388.0,24.0,44.0,11.0,82.0,17.0,0.0,876.0,1.0,9.0,270.0,29.0,4.0,7.0,325.0,11.0,39.0,50.0,172.0,1414.0,162.0,,23.0,344.0,0.0,28.0,63.0,4.0,2.0,9.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11735,Steve Sidwell,Midfielder,Fulham,54,England,2011-12,57.0,1.0,0.0,6.0,3.0,38.0,17.0,,95.0,14.0,12.0,113.0,6.0,636.0,2.0,23.0,3.0,1.0,1082.0,9.0,71.0,4.0,57.0,475.0,19.0,,,1.0,14.0,16.0,48.0,170.0,15.0,0.0,128.0,191.0,78.0,14.0,10.0,3.0,291.0,12.0,6.0,20.0,105.0,14.0,0.0,625.0,14.0,4.0,156.0,28.0,4.0,5.0,180.0,23.0,33.0,48.0,95.0,825.0,1.0,1.0,7.0,233.0,4.0,18.0,27.0,26.0,,9.0,1.0,,1.0,,1.0,0.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0
6298,Zdenek Grygera,Defender,Fulham,54,Czech Republic,2011-12,11.0,4.0,0.0,,,12.0,,,18.0,5.0,5.0,25.0,7.0,217.0,,9.0,3.0,4.0,404.0,4.0,17.0,1.0,12.0,181.0,1.0,3.0,,1.0,13.0,3.0,7.0,7.0,,0.0,28.0,70.0,16.0,5.0,5.0,,86.0,2.0,7.0,1.0,19.0,5.0,0.0,214.0,,1.0,40.0,7.0,,,106.0,3.0,11.0,11.0,34.0,326.0,48.0,2.0,5.0,110.0,2.0,7.0,4.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
